25,1,0,1,0,1,0.6804380416870117,Truck,0,1,10,19,12,7,24,5,20,2,13,15,17,18,21,6,16,3,14,23,8,11,22,9,4,0,Drones
25,1,1,1.75,45,1,29.955180883407593,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,0,Drones,0-1-10,5-2-20,9-4-0,10-12-19,14-23-8,17-15-18,18-6-21,19-7-24,20-13-17,21-16-3
25,1,1,1.75,60,1,54.87311506271362,Truck,0,4,10,12,19,22,11,8,23,16,18,17,2,0,Drones,0-6-4,2-20-0,4-1-10,8-14-23,10-5-12,11-9-8,12-24-19,16-21-18,17-13-2,18-15-17,19-7-22,23-3-16
25,1,1,1.75,75,1,541.937206029892,Truck,0,4,11,8,23,14,3,16,18,1,19,12,10,0,Drones,0-2-4,1-5-19,3-21-16,4-22-11,10-20-0,11-9-8,12-24-10,14-17-3,16-15-18,18-13-1,19-7-12,23-6-14
25,1,1,2.0,30,1,1.276526927947998,Truck,0,1,10,12,7,24,5,20,2,15,18,21,6,3,14,8,11,22,9,0,Drones,2-13-15,6-16-3,9-4-0,10-19-12,14-23-8,15-17-18
25,1,1,2.0,45,1,17.6279079914093,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,0,Drones,0-1-10,5-2-20,9-4-0,10-12-19,14-23-8,17-15-18,18-6-21,19-7-24,20-13-17,21-16-3
25,1,1,2.0,60,1,31.224101066589355,Truck,0,4,10,12,19,22,11,8,23,16,18,17,2,0,Drones,0-6-4,2-20-0,4-1-10,8-14-23,10-5-12,11-9-8,12-24-19,16-21-18,17-13-2,18-15-17,19-7-22,23-3-16
25,1,1,2.0,75,1,671.2049150466919,Truck,0,4,11,8,23,14,3,16,18,1,19,12,10,0,Drones,0-2-4,1-5-19,3-21-16,4-22-11,10-20-0,11-9-8,12-24-10,14-17-3,16-15-18,18-13-1,19-7-12,23-6-14
25,1,2,1.0,30,1,1.4721951484680176,Truck,0,4,9,22,11,8,23,14,3,6,21,18,15,2,20,5,24,7,12,19,10,1,0,Drones,3-16-6,15-13-2,18-17-15
25,1,2,1.0,45,1,22.467593908309937,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,4,0,Drones,0-1-10,14-23-8,17-15-18,19-7-24,19-12-24,20-2-17,20-13-17,21-6-3,21-16-3
25,1,2,1.0,60,1,48.77239203453064,Truck,0,4,10,12,22,11,8,23,16,21,17,2,0,Drones,2-6-0,2-20-0,4-1-10,4-9-10,10-5-12,10-24-12,12-7-22,12-19-22,17-13-2,17-15-2,21-18-17,23-3-16,23-14-16
25,1,2,1.0,75,1,207.04836201667786,Truck,0,4,11,8,16,18,1,19,10,0,Drones,1-5-19,1-24-19,4-9-11,4-22-11,8-3-16,8-21-16,10-2-0,10-6-0,11-14-8,11-23-8,16-15-18,16-17-18,18-13-1,18-20-1,19-7-10,19-12-10
25,1,2,1.25,30,1,1.4747049808502197,Truck,0,4,9,22,11,8,23,14,3,6,21,18,15,2,20,5,24,7,12,19,10,1,0,Drones,3-16-6,15-13-2,18-17-15
25,1,2,1.25,45,1,26.13611102104187,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,4,0,Drones,0-1-10,14-23-8,17-15-18,19-7-24,19-12-24,20-2-17,20-13-17,21-6-3,21-16-3
25,1,2,1.25,60,1,48.89249801635742,Truck,0,4,10,12,22,11,8,23,16,21,17,2,0,Drones,2-6-0,2-20-0,4-1-10,4-9-10,10-5-12,10-24-12,12-7-22,12-19-22,17-13-2,17-15-2,21-18-17,23-3-16,23-14-16
25,1,2,1.25,75,1,286.36696124076843,Truck,0,4,11,8,16,18,1,19,10,0,Drones,1-5-19,1-24-19,4-9-11,4-22-11,8-3-16,8-21-16,10-2-0,10-6-0,11-14-8,11-23-8,16-15-18,16-17-18,18-13-1,18-20-1,19-7-10,19-12-10
25,1,2,1.5,30,1,2.3092758655548096,Truck,0,4,9,22,11,8,23,14,3,6,21,18,15,2,20,5,24,7,12,19,10,1,0,Drones,3-16-6,15-13-2,18-17-15
25,1,2,1.5,45,1,26.49829077720642,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,4,0,Drones,0-1-10,14-23-8,17-15-18,19-7-24,19-12-24,20-2-17,20-13-17,21-6-3,21-16-3
25,1,2,1.5,60,1,64.11543798446655,Truck,0,4,10,12,22,11,8,23,16,21,17,2,0,Drones,2-6-0,2-20-0,4-1-10,4-9-10,10-5-12,10-24-12,12-7-22,12-19-22,17-13-2,17-15-2,21-18-17,23-3-16,23-14-16
25,1,2,1.5,75,1,253.69803190231323,Truck,0,4,11,8,16,18,1,19,10,0,Drones,1-5-19,1-24-19,4-9-11,4-22-11,8-3-16,8-21-16,10-2-0,10-6-0,11-14-8,11-23-8,16-15-18,16-17-18,18-13-1,18-20-1,19-7-10,19-12-10
25,1,2,1.75,30,1,1.5117218494415283,Truck,0,4,9,22,11,8,23,14,3,6,21,18,15,2,20,5,24,7,12,19,10,1,0,Drones,3-16-6,15-13-2,18-17-15
25,1,2,1.75,45,1,24.651499032974243,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,4,0,Drones,0-1-10,14-23-8,17-15-18,19-7-24,19-12-24,20-2-17,20-13-17,21-6-3,21-16-3
